№;Дисциплина;Кол-во часов;доля ставки
1;Философия;54.3;0.06
2;История России;116.5;0.14
3;Иностранный язык;144.5;0.17
4;Безопасность жизнедеятельности;36.2;0.04
5;Физическая культура и спорт;36.2;0.04
6;Русский язык и культура речи;44.2;0.05
7;Правоведение и антикоррупционное поведение;42.2;0.05
8;Психология;36.2;0.04
9;Основы информатики;36.2;0.04
10;Прикладная математика и информатика: введение в профессию;30.2;0.04
11;Основы микроэлектроники и архитектура ЭВМ;40.2;0.05
12;Основы физики;56.3;0.07
13;Экономика;36.2;0.04
14;Алгебра и геометрия;58.3;0.07
15;Дискретная математика;104.6;0.12
16;Математический анализ;258.7;0.3
17;Теория вероятностей и математическая статистика;86.3;0.1
18;Дифференциальные уравнения;70.2;0.08
19;"Курсовая работа по модулю ""Базовые математические дисциплины""";2;0.0
20;Алгоритмизация и основы программирования;52.2;0.06
21;Языки и технологии программирования;44.2;0.05
22;Компьютерная графика;48.2;0.06
23;Объектно-ориентированное программирование;64.3;0.08
24;Функциональное и логическое программирование;48.2;0.06
25;Информационные технологии в профессиональной деятельности;34.2;0.04
26;Сети ЭВМ и телекоммуникации;54.3;0.06
27;Защита информации;60.3;0.07
28;Основы российской государственности;54.2;0.06
29;Операционные системы;52.2;0.06
30;Базы данных;76.3;0.09
31;Теория языков программирования и методы трансляции;56.3;0.07
32;Web-программирование и основы web-дизайна;58.2;0.07
33;Технология разработки программного обеспечения;66.3;0.08
34;Стандартизация, сертификация и управление качеством программного обеспечения;58.3;0.07
35;Правовые основы рынка программного обеспечения;30.2;0.04
36;"Курсовая работа по модулю ""Дисциплины профиля""";2;0.0
37;Современные технологии в Арктических исследованиях;34.2;0.04
38;Информационные технологии в Арктических исследованиях;34.2;0.04
39;Английский язык в профессиональной сфере;34.2;0.04
40;Деловой английский язык;34.2;0.04
41;Программирование в Unity;52.2;0.06
42;Компьютерное моделирование;52.2;0.06
43;Развертывание и настройка тематических сайтов;34.2;0.04
44;Средства визуального анализа;34.2;0.04
45;Клиент-серверные технологии разработки программного обеспечения;34.2;0.04
46;Моделирование в трехмерных компьютерных средах;34.2;0.04
47;Интеллектуальные системы;52.2;0.06
48;Анализ данных;52.2;0.06
49;Настройка и обслуживание компьютерных сетей;52.2;0.06
50;Управление IT-проектами;52.2;0.06
51;Разработка приложений для мобильных устройств;52.2;0.06
52;Основы разработки кросс-платформенных приложений;52.2;0.06
53;Общая физическая подготовка;296.8;0.35
54;Лечебная физическая культура;296.8;0.35
55;Баскетбол;296.8;0.35
56;Волейбол;296.8;0.35
57;Настольный теннис;296.8;0.35
58;Фитнес-аэробика;296.8;0.35
59;Футбол;296.8;0.35
60;Дополнительные главы алгебры;46.3;0.05
61;Уравнения математической физики;52.2;0.06
62;Нейронные сети;48.2;0.06
63;Структуры и алгоритмы обработки данных;66.3;0.08
64;Численные методы;58.2;0.07
65;Функциональный анализ;52.3;0.06
66;Исследование операций и теория игр;52.2;0.06
67;Математическое моделирование;76.3;0.09
68;Комплексный анализ;58.2;0.07
69;Методы оптимизации;58.3;0.07
70;Введение в проектную деятельность;42.2;0.05
71;Университетский проект;45.2;0.05
72;Проект направленности (профиля);45.2;0.05
73;Учебная практика, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы) ;1.5;0.0
74;Учебная практика, технологическая (проектно-технологическая) практика;3.0;0.0
75;Производственная практика, научно-исследовательская работа;1.5;0.0
76;Производственная практика, технологическая (проектно-технологическая) практика;4.5;0.01
77;Выполнение и защита выпускной квалификационной работы;1;0.0
78;Основы работы в электронной информационно-образовательной среде университета;14.2;0.02
79;Организация добровольческой (волонтерской) деятельности и взаимодействие с социально ориентированными НКО;14.2;0.02
80;Тренинг командной работы;12.2;0.01
81;Основы военной подготовки;34.2;0.04
